LEADID,Last Name,Company,Lead Owner Id,Lead Owner,Email,Mobile,Website,Industry,Lead Source,Lead Status,Created Time,CONVERTED
2179,Isabel,Edgerton Gear Inc,1006,Harold Pawlan,isabel@samplecompany.com,(800) - 456 - 2179,,Technology,OnlineStore,Junk Lead,"21 Nov, 2011 00:00:00",
2180,Howard,Forgings & Stampings Inc,1006,Harold Pawlan,howard@samplecompany.com,(800) - 456 - 2180,,Pharma,Partner,Pre Qualified,"21 Nov, 2011 00:00:00",
2181,Carlos,Fox Valley Forge,1002,Santa Cruz Clara,carlos@samplecompany.com,(800) - 456 - 2181,,Consulting,Advertisement,Contact in Future,"21 Nov, 2011 00:00:00",
2183,Alexander,Gearench Inc,1004,Pete Zachriah,alexander@samplecompany.com,(800) - 456 - 2183,,Communications,Advertisement,Contacted,"21 Nov, 2011 00:00:00",
2184,Lucia,Greenfield Products Inc,1008,Roger Terrence,lucia@samplecompany.com,(800) - 456 - 2184,,IT Services,Partner,Not Contacted,"21 Nov, 2011 00:00:00",
2185,Paolo,Gulf Coast Machine & Supply Co,1011,Tina Thomas,paolo@samplecompany.com,(800) - 456 - 2185,,Education,External Referral,Pre Qualified,"21 Nov, 2011 00:00:00",
2186,Catherine,Hohmann & Barnard Inc,1011,Tina Thomas,catherine@samplecompany.com,(800) - 456 - 2186,,Service Provider,Advertisement,Contact in Future,"21 Nov, 2011 00:00:00",
2187,Alexander,Hoosier Metal Products Inc,1001,Rozario Diego,alexander@samplecompany.com,(800) - 456 - 2187,,Service Provider,OnlineStore,Contacted,"21 Nov, 2011 00:00:00",
2188,Manuel,Illinois Forge Inc,1005,Steffi Graf,manuel@samplecompany.com,(800) - 456 - 2188,,Technology,Partner,Junk Lead,"21 Nov, 2011 00:00:00",
2189,Pascale,ITW Shakeproof Industrial Threaded Products,1010,Augustine Paul,pascale@samplecompany.com,(800) - 456 - 2189,,IT Services,Public Relations,Attempted to Contact,"21 Nov, 2011 00:00:00",
2190,Patricia,L M Gear Co,1005,Steffi Graf,patricia@samplecompany.com,(800) - 456 - 2190,,Technology,Partner,Contact in Future,"21 Nov, 2011 00:00:00",
2191,Ann,New Venture Gear Inc,1007,David Love,ann@samplecompany.com,(800) - 456 - 2191,,Service Provider,Web Research,Lost Lead,"21 Nov, 2011 00:00:00",
2192,Ann,Portland Forge,1003,Lazar Mathew,ann@samplecompany.com,(800) - 456 - 2192,,Consulting,Employee Referral,Contacted,"21 Nov, 2011 00:00:00",
2193,Yoshi,Precision Bearing & Machine,1008,Roger Terrence,yoshi@samplecompany.com,(800) - 456 - 2193,,Consulting,External Referral,Not Contacted,"21 Nov, 2011 00:00:00",
2194,Ana,General Dynamics,1004,Pete Zachriah,ana@samplecompany.com,(800) - 456 - 2194,,Service Provider,Employee Referral,Pre Qualified,"21 Nov, 2011 00:00:00",
2195,Alan,Rhode Island Tool Co Inc,1002,Santa Cruz Clara,alan@samplecompany.com,(800) - 456 - 2195,,Financial Services,Cold Call,Contact in Future,"21 Nov, 2011 00:00:00",
2196,Yoshi,Smith & Nephew Orthopedic,1008,Roger Terrence,yoshi@samplecompany.com,(800) - 456 - 2196,,Consulting,Public Relations,Contacted,"21 Nov, 2011 00:00:00",
2197,Elizabeth,Paragon Industries,1008,Roger Terrence,elizabeth@samplecompany.com,(800) - 456 - 2197,,Government/Military,Cold Call,Junk Lead,"21 Nov, 2011 00:00:00",
2198,Patricia,"Porter Engineered Systems, Inc.",1002,Santa Cruz Clara,patricia@samplecompany.com,(800) - 456 - 2198,,Manufacturing,External Referral,Attempted to Contact,"21 Nov, 2011 00:00:00",
2199,Hari,U.S. Equipment Company,1011,Tina Thomas,hari@samplecompany.com,(800) - 456 - 2199,,Pharma,Employee Referral,Pre Qualified,"21 Nov, 2011 00:00:00",
2200,Paula,Edgerton Forge Inc.,1010,Augustine Paul,paula@samplecompany.com,(800) - 456 - 2200,,Pharma,Employee Referral,Contacted,"21 Nov, 2011 00:00:00",
2201,Michael,Jack Dibee & Associates,1004,Pete Zachriah,michael@samplecompany.com,(800) - 456 - 2201,,Communications,Advertisement,Not Contacted,"21 Nov, 2011 00:00:00",
1014,Georg,"Taber Extrusions, LP - Mississippi Div.",1006,Harold Pawlan,georg@samplecompany.com,(800) - 456 - 1014,,Financial Services,Advertisement,Pre Qualified,"21 Nov, 2011 00:00:00",
2202,Dominique,Buckeye Gear Co,1003,Lazar Mathew,dominique@samplecompany.com,(800) - 456 - 2202,,Manufacturing,Partner,Pre Qualified,"16 Nov, 2011 00:00:00",
2203,Renate,C A Lawton Co,1005,Steffi Graf,renate@samplecompany.com,(800) - 456 - 2203,,Communications,External Referral,Contact in Future,"16 Nov, 2011 00:00:00",
2205,Karl,P T E Inc,1010,Augustine Paul,karl@samplecompany.com,(800) - 456 - 2205,,Manufacturing,OnlineStore,Junk Lead,"16 Nov, 2011 00:00:00",
2206,Felipe,Wisconsin Ordnance Works Ltd,1011,Tina Thomas,felipe@samplecompany.com,(800) - 456 - 2206,,Financial Services,Employee Referral,Attempted to Contact,"16 Nov, 2011 00:00:00",
2207,Alan,LTV Copperweld,1003,Lazar Mathew,alan@samplecompany.com,(800) - 456 - 2207,,Financial Services,OnlineStore,Pre Qualified,"16 Nov, 2011 00:00:00",
1016,Martine,Commercial Gear Co,1009,Thomas Mondrake,martine@samplecompany.com,(800) - 456 - 1016,,Communications,Public Relations,Contacted,"05 Nov, 2011 00:00:00",
1017,Maria,Rockford Forging Die & Tool,1001,Rozario Diego,maria@samplecompany.com,(800) - 456 - 1017,,IT Services,Cold Call,Junk Lead,"21 Oct, 2011 00:00:00",
2208,Dominique,Easco Aluminum,1006,Harold Pawlan,dominique@samplecompany.com,(800) - 456 - 2208,,Consulting,OnlineStore,Contact in Future,"19 Oct, 2011 00:00:00",
2209,Michael,Alcoa,1003,Lazar Mathew,michael@samplecompany.com,(800) - 456 - 2209,,Education,Public Relations,Lost Lead,"19 Oct, 2011 00:00:00",
2210,Palle,"Fluid Dynamics Int'l, Inc.",1010,Augustine Paul,palle@samplecompany.com,(800) - 456 - 2210,,Financial Services,Web Research,Not Contacted,"19 Oct, 2011 00:00:00",
2211,Jytte,Aluminum Extruders Council,1002,Santa Cruz Clara,jytte@samplecompany.com,(800) - 456 - 2211,,IT Services,Partner,Pre Qualified,"19 Oct, 2011 00:00:00",
2212,Manuel,"Northern Extrusion Tooling, Inc.",1002,Santa Cruz Clara,manuel@samplecompany.com,(800) - 456 - 2212,,Communications,Advertisement,Contact in Future,"19 Oct, 2011 00:00:00",
2213,Helvetius,Mr. Dick Pracht,1001,Rozario Diego,helvetius@samplecompany.com,(800) - 456 - 2213,,Service Provider,Web Research,Contacted,"19 Oct, 2011 00:00:00",
2214,Bob,Gant Pridco,1006,Harold Pawlan,bob@samplecompany.com,(800) - 456 - 2214,,Technology,External Referral,Junk Lead,"19 Oct, 2011 00:00:00",
2215,Hari,Kimberly Clark Corporation,1011,Tina Thomas,hari@samplecompany.com,(800) - 456 - 2215,,Technology,Partner,Attempted to Contact,"19 Oct, 2011 00:00:00",
2216,Sven,Hercules Drawn Steel Corporation,1008,Roger Terrence,sven@samplecompany.com,(800) - 456 - 2216,,Education,External Referral,Pre Qualified,"19 Oct, 2011 00:00:00",
2217,Martine,Bar Processing Corporation,1009,Thomas Mondrake,martine@samplecompany.com,(800) - 456 - 2217,,Communications,Advertisement,Contact in Future,"19 Oct, 2011 00:00:00",
2218,Fran,Akron Gear & Engineering Inc,1010,Augustine Paul,fran@samplecompany.com,(800) - 456 - 2218,,Financial Services,External Referral,Lost Lead,"19 Oct, 2011 00:00:00",
2219,Carlos,American Axle & Manufacturing,1004,Pete Zachriah,carlos@samplecompany.com,(800) - 456 - 2219,,Financial Services,Trade Show,Contacted,"19 Oct, 2011 00:00:00",
2221,Marie,Bristol Instrument Gears Inc,1002,Santa Cruz Clara,marie@samplecompany.com,(800) - 456 - 2221,,Pharma,Trade Show,Contact in Future,"19 Oct, 2011 00:00:00",
2222,Jytte,Caratron Industries Inc,1008,Roger Terrence,jytte@samplecompany.com,(800) - 456 - 2222,,Communications,Web Research,Contacted,"19 Oct, 2011 00:00:00",
2223,Ana,Grant Prideco,1010,Augustine Paul,ana@samplecompany.com,(800) - 456 - 2223,,Consulting,Sales Mail Alias,Junk Lead,"19 Oct, 2011 00:00:00",
2224,Roland,SMC Metal Inc.,1003,Lazar Mathew,roland@samplecompany.com,(800) - 456 - 2224,,Consulting,External Referral,Attempted to Contact,"19 Oct, 2011 00:00:00",
2225,Palle,Cooper Gear & Manufacturing,1002,Santa Cruz Clara,palle@samplecompany.com,(800) - 456 - 2225,,Technology,External Referral,Pre Qualified,"19 Oct, 2011 00:00:00",
2226,Ana,Erie Forge & Steel Inc,1003,Lazar Mathew,ana@samplecompany.com,(800) - 456 - 2226,,Manufacturing,Web Research,Contact in Future,"19 Oct, 2011 00:00:00",
2227,Michael,F R D Metalworks Inc,1008,Roger Terrence,michael@samplecompany.com,(800) - 456 - 2227,,Financial Services,Advertisement,Lost Lead,"19 Oct, 2011 00:00:00",
2228,Martyn,FC Mason Co,1009,Thomas Mondrake,martyn@samplecompany.com,(800) - 456 - 2228,,IT Services,OnlineStore,Contacted,"19 Oct, 2011 00:00:00",
2229,Jonas,Gateway Precision Gear,1008,Roger Terrence,jonas@samplecompany.com,(800) - 456 - 2229,,Service Provider,Cold Call,Not Contacted,"19 Oct, 2011 00:00:00",
2230,Pirkko,Herman D Steel Co,1001,Rozario Diego,pirkko@samplecompany.com,(800) - 456 - 2230,,Consulting,Partner,Contact in Future,"19 Oct, 2011 00:00:00",
2231,Maria,Hirschvogel Inc,1004,Pete Zachriah,maria@samplecompany.com,(800) - 456 - 2231,,Consulting,Advertisement,Contacted,"19 Oct, 2011 00:00:00",
2232,Pascale,Lent Horseshoe Co,1008,Roger Terrence,pascale@samplecompany.com,(800) - 456 - 2232,,IT Services,Employee Referral,Junk Lead,"19 Oct, 2011 00:00:00",
2233,Jose,Oritex Corp,1004,Pete Zachriah,jose@samplecompany.com,(800) - 456 - 2233,,Technology,OnlineStore,Attempted to Contact,"19 Oct, 2011 00:00:00",
2234,Elizabeth,Rohder Machine & Tool Inc,1003,Lazar Mathew,elizabeth@samplecompany.com,(800) - 456 - 2234,,Pharma,Partner,Pre Qualified,"19 Oct, 2011 00:00:00",
2235,Victoria,St Louis Gear Co,1011,Tina Thomas,victoria@samplecompany.com,(800) - 456 - 2235,,Education,Web Research,Contact in Future,"19 Oct, 2011 00:00:00",
2236,Janete,VAE Nortrak Cheyenne Inc,1003,Lazar Mathew,janete@samplecompany.com,(800) - 456 - 2236,,Pharma,Cold Call,Lost Lead,"19 Oct, 2011 00:00:00",
2237,Simon,Caterpillar Inc.,1005,Steffi Graf,simon@samplecompany.com,(800) - 456 - 2237,,Manufacturing,Trade Show,Contacted,"19 Oct, 2011 00:00:00",
1309,Miguel,Aluminum Extrusions Inc.,1004,Pete Zachriah,miguel@samplecompany.com,(800) - 456 - 1309,,Consulting,OnlineStore,Lost Lead,"17 Oct, 2011 00:00:00",
1310,Paul,"Franklin Aluminum Company, Inc.",1004,Pete Zachriah,paul@samplecompany.com,(800) - 456 - 1310,,Financial Services,Web Research,Not Contacted,"17 Oct, 2011 00:00:00",
1311,Paula,Alexco,1003,Lazar Mathew,paula@samplecompany.com,(800) - 456 - 1311,,Technology,OnlineStore,Pre Qualified,"17 Oct, 2011 00:00:00",
1312,Carlos,Albright & Wilson Americas,1002,Santa Cruz Clara,carlos@samplecompany.com,(800) - 456 - 1312,,Communications,Cold Call,Contact in Future,"17 Oct, 2011 00:00:00",
1313,Philip,Marubeni America Corporation,1002,Santa Cruz Clara,philip@samplecompany.com,(800) - 456 - 1313,,Service Provider,Employee Referral,Contacted,"17 Oct, 2011 00:00:00",
1314,Sven,Gerard & Associates,1005,Steffi Graf,sven@samplecompany.com,(800) - 456 - 1314,,Pharma,External Referral,Junk Lead,"17 Oct, 2011 00:00:00",
1315,Marie,McDonald Steel Corporation,1008,Roger Terrence,marie@samplecompany.com,(800) - 456 - 1315,,Communications,Trade Show,Attempted to Contact,"17 Oct, 2011 00:00:00",
1316,Felipe,BOS Anchor Release Inc,1001,Rozario Diego,felipe@samplecompany.com,(800) - 456 - 1316,,Manufacturing,Advertisement,Pre Qualified,"17 Oct, 2011 00:00:00",
1317,Philip,Byrne Gear Corp Of America,1006,Harold Pawlan,philip@samplecompany.com,(800) - 456 - 1317,,Communications,OnlineStore,Contact in Future,"17 Oct, 2011 00:00:00",
1318,Patricia,E D Clapp Corp,1004,Pete Zachriah,patricia@samplecompany.com,(800) - 456 - 1318,,Service Provider,Sales Mail Alias,Lost Lead,"17 Oct, 2011 00:00:00",
1319,Marie,Forged Metals Inc,1005,Steffi Graf,marie@samplecompany.com,(800) - 456 - 1319,,Pharma,External Referral,Contacted,"17 Oct, 2011 00:00:00",
1320,Liu,Geneva Gear & Machine Inc,1003,Lazar Mathew,liu@samplecompany.com,(800) - 456 - 1320,,Manufacturing,Public Relations,Pre Qualified,"17 Oct, 2011 00:00:00",
1321,Felipe,Moore-Addison Co,1003,Lazar Mathew,felipe@samplecompany.com,(800) - 456 - 1321,,Education,Cold Call,Contact in Future,"17 Oct, 2011 00:00:00",
1322,Lucia,Nerkle-Korff Industries,1001,Rozario Diego,lucia@samplecompany.com,(800) - 456 - 1322,,Consulting,Cold Call,Contacted,"17 Oct, 2011 00:00:00",
1323,Paolo,Turnin' Point Industries,1008,Roger Terrence,paolo@samplecompany.com,(800) - 456 - 1323,,Financial Services,Trade Show,Junk Lead,"17 Oct, 2011 00:00:00",
1324,Patricio,GE Aircraft Engines,1001,Rozario Diego,patricio@samplecompany.com,(800) - 456 - 1324,,Consulting,External Referral,Attempted to Contact,"17 Oct, 2011 00:00:00",
1325,Ann,Bishop Tube Company,1006,Harold Pawlan,ann@samplecompany.com,(800) - 456 - 1325,,Service Provider,Partner,Pre Qualified,"17 Oct, 2011 00:00:00",
1326,Janine,Trocha International Inc.,1005,Steffi Graf,janine@samplecompany.com,(800) - 456 - 1326,,Communications,Sales Mail Alias,Contact in Future,"17 Oct, 2011 00:00:00",
1018,Andre,Lansing Forge Inc,1006,Harold Pawlan,andre@samplecompany.com,(800) - 456 - 1018,,Financial Services,Sales Mail Alias,Attempted to Contact,"06 Oct, 2011 00:00:00",
1019,Jean,C & F Forge Company,1004,Pete Zachriah,jean@samplecompany.com,(800) - 456 - 1019,,Financial Services,Web Research,Pre Qualified,"22 Sep, 2011 00:00:00",
1020,Fran,Dynamet Inc,1001,Rozario Diego,fran@samplecompany.com,(800) - 456 - 1020,,Service Provider,Partner,Lost Lead,"22 Sep, 2011 00:00:00",
1021,Alan,Midwest Forge,1002,Santa Cruz Clara,alan@samplecompany.com,(800) - 456 - 1021,,IT Services,Partner,Contacted,"22 Sep, 2011 00:00:00",
1370,Sven,Atlantic Gear Machine Co Inc,1009,Thomas Mondrake,sven@samplecompany.com,(800) - 456 - 1370,,Manufacturing,Partner,Pre Qualified,"21 Sep, 2011 00:00:00",
1371,Yang,Belcher Gear Manufacturing Inc,1004,Pete Zachriah,yang@samplecompany.com,(800) - 456 - 1371,,Manufacturing,Trade Show,Contact in Future,"21 Sep, 2011 00:00:00",
1372,Maurizio,Great Lakes Gear Co,1008,Roger Terrence,maurizio@samplecompany.com,(800) - 456 - 1372,,IT Services,Web Research,Lost Lead,"21 Sep, 2011 00:00:00",
1373,Laurence,Ketchie Houston Inc,1004,Pete Zachriah,laurence@samplecompany.com,(800) - 456 - 1373,,Service Provider,Cold Call,Contacted,"21 Sep, 2011 00:00:00",
1374,Yoshi,Motion Control Industries Inc,1010,Augustine Paul,yoshi@samplecompany.com,(800) - 456 - 1374,,Pharma,External Referral,Not Contacted,"21 Sep, 2011 00:00:00",
1375,Art,Perry Technology Corp,1004,Pete Zachriah,art@samplecompany.com,(800) - 456 - 1375,,Education,Sales Mail Alias,Pre Qualified,"21 Sep, 2011 00:00:00",
1376,Jean,Tracey Gear & Machine Works,1010,Augustine Paul,jean@samplecompany.com,(800) - 456 - 1376,,Manufacturing,Cold Call,Contact in Future,"21 Sep, 2011 00:00:00",
1377,Sven,Value Components Corp,1004,Pete Zachriah,sven@samplecompany.com,(800) - 456 - 1377,,Service Provider,Public Relations,Contacted,"21 Sep, 2011 00:00:00",
1378,Bernardo,Western Forge & Flange Co,1004,Pete Zachriah,bernardo@samplecompany.com,(800) - 456 - 1378,,Manufacturing,External Referral,Junk Lead,"21 Sep, 2011 00:00:00",
1022,Steve,Dixie Electrical Manufacturing Co,1004,Pete Zachriah,steve@samplecompany.com,(800) - 456 - 1022,,Pharma,Public Relations,Not Contacted,"21 Sep, 2011 00:00:00",
1387,Peter,Kurt Manufacturing Co,1003,Lazar Mathew,peter@samplecompany.com,(800) - 456 - 1387,,Communications,Cold Call,Junk Lead,"19 Sep, 2011 00:00:00",
1388,Francisco,L C Engineering,1006,Harold Pawlan,francisco@samplecompany.com,(800) - 456 - 1388,,Technology,Employee Referral,Attempted to Contact,"19 Sep, 2011 00:00:00",
1389,Yoshi,M E C Corp,1008,Roger Terrence,yoshi@samplecompany.com,(800) - 456 - 1389,,Education,External Referral,Pre Qualified,"19 Sep, 2011 00:00:00",
1390,Aria,Michigan Gear & Engineering Co,1005,Steffi Graf,aria@samplecompany.com,(800) - 456 - 1390,,Manufacturing,Advertisement,Lost Lead,"19 Sep, 2011 00:00:00",
1391,Mark,Murray Brothers Manufacturing,1003,Lazar Mathew,mark@samplecompany.com,(800) - 456 - 1391,,Consulting,External Referral,Contacted,"19 Sep, 2011 00:00:00",
1392,Ann,P R L Inc,1010,Augustine Paul,ann@samplecompany.com,(800) - 456 - 1392,,Government/Military,Advertisement,Not Contacted,"19 Sep, 2011 00:00:00",
1393,Thomas,Penn Locomotive Gear,1006,Harold Pawlan,thomas@samplecompany.com,(800) - 456 - 1393,,Financial Services,Cold Call,Pre Qualified,"19 Sep, 2011 00:00:00",
1394,Fredrique,Roger's Machinery Sales Inc,1008,Roger Terrence,fredrique@samplecompany.com,(800) - 456 - 1394,,Pharma,Employee Referral,Contact in Future,"19 Sep, 2011 00:00:00",
1395,Chris,S A Gear Co Inc,1008,Roger Terrence,chris@samplecompany.com,(800) - 456 - 1395,,Consulting,Trade Show,Contacted,"19 Sep, 2011 00:00:00",
1396,Guillermo,Silrich Co,1009,Thomas Mondrake,guillermo@samplecompany.com,(800) - 456 - 1396,,Government/Military,Partner,Junk Lead,"19 Sep, 2011 00:00:00",
1397,Francisco,Spencer Forge & Manufacturing,1003,Lazar Mathew,francisco@samplecompany.com,(800) - 456 - 1397,,IT Services,External Referral,Attempted to Contact,"19 Sep, 2011 00:00:00",
1398,Hanna,Stoy Machine & Tool Co Inc,1006,Harold Pawlan,hanna@samplecompany.com,(800) - 456 - 1398,,Consulting,Web Research,Pre Qualified,"19 Sep, 2011 00:00:00",
1023,Alexander,Astro Shapes Inc.,1008,Roger Terrence,alexander@samplecompany.com,(800) - 456 - 1023,,Education,Web Research,Pre Qualified,"19 Sep, 2011 00:00:00",
1024,Elizabeth,Vulcan Steam Forging Co,1003,Lazar Mathew,elizabeth@samplecompany.com,(800) - 456 - 1024,,Communications,Sales Mail Alias,Contact in Future,"19 Sep, 2011 00:00:00",
1422,Steve,"Timken Company, The",1011,Tina Thomas,steve@samplecompany.com,(800) - 456 - 1422,,Pharma,Web Research,Junk Lead,"25 Aug, 2011 00:00:00",
1423,Paula,Dumore Corp,1001,Rozario Diego,paula@samplecompany.com,(800) - 456 - 1423,,Consulting,Public Relations,Attempted to Contact,"25 Aug, 2011 00:00:00",
1424,Diego,Gaetz Machine & Tool,1006,Harold Pawlan,diego@samplecompany.com,(800) - 456 - 1424,,Consulting,External Referral,Pre Qualified,"25 Aug, 2011 00:00:00",
1425,Jean,Indusco Industrial Sales Co,1011,Tina Thomas,jean@samplecompany.com,(800) - 456 - 1425,,Manufacturing,Public Relations,Contact in Future,"25 Aug, 2011 00:00:00",
1426,Ann,Industrial Machine & Supply,1005,Steffi Graf,ann@samplecompany.com,(800) - 456 - 1426,,Manufacturing,Employee Referral,Lost Lead,"25 Aug, 2011 00:00:00",
1427,Marie,Jorgen Automotive Corp,1006,Harold Pawlan,marie@samplecompany.com,(800) - 456 - 1427,,Pharma,Public Relations,Contacted,"25 Aug, 2011 00:00:00",
1428,Dominique,King Indiana Forge Inc.,1006,Harold Pawlan,dominique@samplecompany.com,(800) - 456 - 1428,,Service Provider,Advertisement,Not Contacted,"25 Aug, 2011 00:00:00",
1025,Pirkko,Champion Steel Co,1001,Rozario Diego,pirkko@samplecompany.com,(800) - 456 - 1025,,Financial Services,External Referral,Contacted,"25 Aug, 2011 00:00:00",
1026,Laurence,Santasalo Gear Service Inc,1009,Thomas Mondrake,laurence@samplecompany.com,(800) - 456 - 1026,,Service Provider,Cold Call,Junk Lead,"25 Aug, 2011 00:00:00",
1027,John,North American Aluminum Corp.,1001,Rozario Diego,john@samplecompany.com,(800) - 456 - 1027,,IT Services,Public Relations,Attempted to Contact,"24 Aug, 2011 00:00:00",
1028,Paul,Nucor Steel - Yamato Steel,1002,Santa Cruz Clara,paul@samplecompany.com,(800) - 456 - 1028,,Service Provider,Advertisement,Pre Qualified,"21 Aug, 2011 00:00:00",
1029,Fredrique,Geartronics Industries Inc,1003,Lazar Mathew,fredrique@samplecompany.com,(800) - 456 - 1029,,Government/Military,Partner,Contact in Future,"21 Aug, 2011 00:00:00",
1030,Palle,Jade Precision Gear Corp,1006,Harold Pawlan,palle@samplecompany.com,(800) - 456 - 1030,,IT Services,Employee Referral,Contacted,"21 Aug, 2011 00:00:00",
1032,Felipe,K W Engel Forge & Fasteners Inc,1007,David Love,felipe@samplecompany.com,(800) - 456 - 1032,,Consulting,Web Research,Pre Qualified,"08 Aug, 2011 00:00:00",
1450,Jonas,M I Plastics,1006,Harold Pawlan,jonas@samplecompany.com,(800) - 456 - 1450,,Technology,Trade Show,Attempted to Contact,"07 Aug, 2011 00:00:00",
1451,Marie,Indalco Aluminum,1004,Pete Zachriah,marie@samplecompany.com,(800) - 456 - 1451,,Communications,Web Research,Pre Qualified,"07 Aug, 2011 00:00:00",
1452,Carine,KB Alloys,1001,Rozario Diego,carine@samplecompany.com,(800) - 456 - 1452,,Financial Services,Advertisement,Contact in Future,"07 Aug, 2011 00:00:00",
1453,Janine,Lake Park Tool & Machine Inc.,1004,Pete Zachriah,janine@samplecompany.com,(800) - 456 - 1453,,Consulting,Cold Call,Lost Lead,"07 Aug, 2011 00:00:00",
1454,Annette,Jackson Tube Service Inc.,1004,Pete Zachriah,annette@samplecompany.com,(800) - 456 - 1454,,Communications,Web Research,Contacted,"07 Aug, 2011 00:00:00",
1455,Giovanni,Able Tool & Die Inc,1009,Thomas Mondrake,giovanni@samplecompany.com,(800) - 456 - 1455,,Service Provider,Cold Call,Not Contacted,"07 Aug, 2011 00:00:00",
1456,Manuel,Falkenroth Inc.,1004,Pete Zachriah,manuel@samplecompany.com,(800) - 456 - 1456,,Technology,Sales Mail Alias,Pre Qualified,"07 Aug, 2011 00:00:00",
1457,Elizabeth,H & H Tube & Manufacturing Company,1002,Santa Cruz Clara,elizabeth@samplecompany.com,(800) - 456 - 1457,,Government/Military,OnlineStore,Contact in Future,"07 Aug, 2011 00:00:00",
1458,Bernardo,Crankshaft City Inc,1009,Thomas Mondrake,bernardo@samplecompany.com,(800) - 456 - 1458,,Government/Military,OnlineStore,Contacted,"07 Aug, 2011 00:00:00",
1459,Helen,Eastham Forge Inc,1010,Augustine Paul,helen@samplecompany.com,(800) - 456 - 1459,,Technology,Public Relations,Junk Lead,"07 Aug, 2011 00:00:00",
1460,Carine,George Seltzer Co,1008,Roger Terrence,carine@samplecompany.com,(800) - 456 - 1460,,Manufacturing,Trade Show,Pre Qualified,"07 Aug, 2011 00:00:00",
1461,Roland,Humphrey Tool Co,1010,Augustine Paul,roland@samplecompany.com,(800) - 456 - 1461,,Communications,Public Relations,Contact in Future,"07 Aug, 2011 00:00:00",
1462,Mario,Linkgear Machine Co,1004,Pete Zachriah,mario@samplecompany.com,(800) - 456 - 1462,,IT Services,OnlineStore,Lost Lead,"07 Aug, 2011 00:00:00",
1463,Pedro,Metaldyne Forming Technologies,1003,Lazar Mathew,pedro@samplecompany.com,(800) - 456 - 1463,,Service Provider,Sales Mail Alias,Contacted,"07 Aug, 2011 00:00:00",
1464,Sue,Northend Gear & Machine Inc,1001,Rozario Diego,sue@samplecompany.com,(800) - 456 - 1464,,Communications,Advertisement,Not Contacted,"07 Aug, 2011 00:00:00",
1465,Jose,Precision Assembly Co,1005,Steffi Graf,jose@samplecompany.com,(800) - 456 - 1465,,Consulting,OnlineStore,Pre Qualified,"07 Aug, 2011 00:00:00",
1466,Philip,United Precision Gear Co,1002,Santa Cruz Clara,philip@samplecompany.com,(800) - 456 - 1466,,Education,Public Relations,Contact in Future,"07 Aug, 2011 00:00:00",
1467,Patricio,Wilkie Brothers Conveyors Inc,1001,Rozario Diego,patricio@samplecompany.com,(800) - 456 - 1467,,Manufacturing,Public Relations,Contacted,"07 Aug, 2011 00:00:00",
1468,Dominique,Wozniak Industries Inc,1003,Lazar Mathew,dominique@samplecompany.com,(800) - 456 - 1468,,Financial Services,Partner,Junk Lead,"07 Aug, 2011 00:00:00",
1469,Felipe,Republic Technologies International,1001,Rozario Diego,felipe@samplecompany.com,(800) - 456 - 1469,,Technology,OnlineStore,Attempted to Contact,"07 Aug, 2011 00:00:00",
1470,Pascale,Dayton/Richmond,1008,Roger Terrence,pascale@samplecompany.com,(800) - 456 - 1470,,Manufacturing,Employee Referral,Contact in Future,"07 Aug, 2011 00:00:00",
1471,Ana,Sanza Engineering S.A.,1001,Rozario Diego,ana@samplecompany.com,(800) - 456 - 1471,,Government/Military,OnlineStore,Lost Lead,"07 Aug, 2011 00:00:00",
1472,Roland,Technical Machine Sales Inc.,1009,Thomas Mondrake,roland@samplecompany.com,(800) - 456 - 1472,,Service Provider,Cold Call,Contacted,"07 Aug, 2011 00:00:00",
1473,Maurizio,Omaha Housing Authority,1010,Augustine Paul,maurizio@samplecompany.com,(800) - 456 - 1473,,Technology,Employee Referral,Not Contacted,"07 Aug, 2011 00:00:00",
1474,Maurizio,General Electric Aircraft Engines,1007,David Love,maurizio@samplecompany.com,(800) - 456 - 1474,,Consulting,External Referral,Pre Qualified,"07 Aug, 2011 00:00:00",
1493,Helen,"Dolton Extrusion Co., Inc.",1005,Steffi Graf,helen@samplecompany.com,(800) - 456 - 1493,,Manufacturing,Employee Referral,Contact in Future,"26 Jul, 2011 00:00:00",
1494,Ana,Tower Extrusions Ltd.,1010,Augustine Paul,ana@samplecompany.com,(800) - 456 - 1494,,Pharma,External Referral,Contacted,"26 Jul, 2011 00:00:00",
1495,Lucia,Chase Brass & Copper Co.,1001,Rozario Diego,lucia@samplecompany.com,(800) - 456 - 1495,,Communications,Employee Referral,Junk Lead,"26 Jul, 2011 00:00:00",
1496,Liu,Ameritech International Inc.,1009,Thomas Mondrake,liu@samplecompany.com,(800) - 456 - 1496,,Technology,OnlineStore,Attempted to Contact,"26 Jul, 2011 00:00:00",
1497,Lucia,Biam,1005,Steffi Graf,lucia@samplecompany.com,(800) - 456 - 1497,,Consulting,Web Research,Pre Qualified,"26 Jul, 2011 00:00:00",
1498,Laurence,Impact Forge,1004,Pete Zachriah,laurence@samplecompany.com,(800) - 456 - 1498,,Government/Military,OnlineStore,Contact in Future,"26 Jul, 2011 00:00:00",
1499,Maria,Chicago Steel,1009,Thomas Mondrake,maria@samplecompany.com,(800) - 456 - 1499,,Manufacturing,Employee Referral,Lost Lead,"26 Jul, 2011 00:00:00",
